Product Name,Category,Material,Year,Month,Day,Total_Emissions,TS
Tank Top,Shirts,Denim,2020,11,12,59.4,1735689600000
Chino Pants,Pants,Polyester,2023,1,26,20.59,1735689600000
Baseball Cap,Hat,Denim,2021,5,17,43.5,1735689600000
Baseball Cap,Hat,Denim,2022,2,16,34.34,1735689600000
Classic T-Shirt,Shirts,Denim,2022,4,15,99.2,1735689600000
Tank Top,Shirts,Polyester,2023,9,20,38.64,1735689600000
Polo Shirt,Shirts,Denim,2022,4,11,99.28,1735689600000
Baseball Cap,Hat,Cotton,2024,12,17,52.36,1735689600000
Shorts,Pants,Polyester,2021,2,23,18.06,1735689600000
Shorts,Pants,Cotton,2024,1,3,8.38,1735689600000
Shorts,Pants,Leather,2022,1,25,37.66,1735689600000
Beanie,Hat,Leather,2020,6,5,13.22,1735689600000
Tank Top,Shirts,Cotton,2024,9,5,63.82,1735689600000
Baseball Cap,Hat,Leather,2023,1,21,41.98,1735689600000
Slip-On Sneakers,Shoes,Polyester,2024,1,4,99.1,1735689600000
Chino Pants,Pants,Cotton,2022,3,30,93.07,1735689600000
Tank Top,Shirts,Denim,2021,5,31,15.77,1735689600000
Running Shoes,Shoes,Cotton,2024,10,9,40.09,1735689600000
Beanie,Hat,Cotton,2022,8,29,46.7,1735689600000
Cargo Pants,Pants,Cotton,2020,2,1,56.53,1735689600000
Slip-On Sneakers,Shoes,Leather,2022,1,10,78.26,1735689600000
Leather Boots,Shoes,Cotton,2023,1,5,49.23,1735689600000
Tank Top,Shirts,Cotton,2021,3,12,42.58,1735689600000
Polo Shirt,Shirts,Leather,2023,6,28,26.94,1735689600000
Classic T-Shirt,Shirts,Cotton,2024,6,7,91.17,1735689600000
Cargo Pants,Pants,Leather,2021,12,21,3.2,1735689600000
Formal Shirt,Shirts,Leather,2022,5,29,82.29,1735689600000
Denim Jeans,Pants,Denim,2024,2,17,19.66,1735689600000
Formal Shirt,Shirts,Polyester,2020,3,15,68.89,1735689600000
Tank Top,Shirts,Denim,2024,5,25,36.17,1735689600000
Tank Top,Shirts,Polyester,2022,7,11,97.45,1735689600000
Leather Boots,Shoes,Cotton,2024,10,30,13.15,1735689600000
Slip-On Sneakers,Shoes,Polyester,2020,7,4,19.57,1735689600000
Bucket Hat,Hat,Leather,2024,12,27,89.05,1735689600000
Cowboy Hat,Hat,Cotton,2020,4,9,58.76,1735689600000
Running Shoes,Shoes,Leather,2024,1,12,31.62,1735689600000
Polo Shirt,Shirts,Leather,2022,7,3,1.08,1735689600000
Denim Jeans,Pants,Cotton,2022,9,18,23.53,1735689600000
Cowboy Hat,Hat,Polyester,2020,2,11,15.39,1735689600000
Shorts,Pants,Denim,2021,5,13,21.14,1735689600000
Running Shoes,Shoes,Polyester,2022,5,13,89.74,1735689600000
Chino Pants,Pants,Leather,2021,11,19,87.44,1735689600000
Slip-On Sneakers,Shoes,Leather,2021,11,13,70.33,1735689600000
Denim Jeans,Pants,Cotton,2023,10,25,47.58,1735689600000
Sandals,Shoes,Cotton,2023,6,20,82.89,1735689600000
Chino Pants,Pants,Leather,2024,8,13,50.09,1735689600000
Baseball Cap,Hat,Polyester,2024,5,19,36.99,1735689600000
Shorts,Pants,Polyester,2022,8,24,28.28,1735689600000
Chino Pants,Pants,Leather,2023,4,28,92.55,1735689600000
Sandals,Shoes,Denim,2023,4,27,39.31,1735689600000
Bucket Hat,Hat,Denim,2023,10,21,49.8,1735689600000
Running Shoes,Shoes,Denim,2023,1,25,26.19,1735689600000
Beanie,Hat,Denim,2020,6,4,88.61,1735689600000
Chino Pants,Pants,Leather,2020,9,13,38.94,1735689600000
Beanie,Hat,Denim,2021,10,28,30.46,1735689600000
Denim Jeans,Pants,Denim,2022,10,11,72.04,1735689600000
Shorts,Pants,Cotton,2023,7,24,19.9,1735689600000
Chino Pants,Pants,Denim,2022,2,1,12.7,1735689600000
Slip-On Sneakers,Shoes,Leather,2020,1,27,83.86,1735689600000
Polo Shirt,Shirts,Polyester,2022,8,19,74.67,1735689600000
Baseball Cap,Hat,Denim,2020,12,23,59.46,1735689600000
Formal Shirt,Shirts,Leather,2024,2,21,25.05,1735689600000
Polo Shirt,Shirts,Denim,2022,2,25,62.7,1735689600000
Bucket Hat,Hat,Cotton,2022,8,14,64.2,1735689600000
Cargo Pants,Pants,Polyester,2020,9,10,33.43,1735689600000
Formal Shirt,Shirts,Polyester,2021,4,11,7.68,1735689600000
Formal Shirt,Shirts,Cotton,2022,1,12,88.17,1735689600000
Formal Shirt,Shirts,Polyester,2020,11,11,46.54,1735689600000
Classic T-Shirt,Shirts,Polyester,2024,7,11,76.62,1735689600000
Beanie,Hat,Polyester,2023,10,25,26.13,1735689600000
Chino Pants,Pants,Leather,2021,7,28,59.55,1735689600000
Beanie,Hat,Cotton,2024,3,2,43.45,1735689600000
Denim Jeans,Pants,Leather,2022,10,12,38.83,1735689600000
Baseball Cap,Hat,Cotton,2024,8,29,13.54,1735689600000
Slip-On Sneakers,Shoes,Polyester,2021,10,25,25.18,1735689600000
Polo Shirt,Shirts,Denim,2021,8,3,8.85,1735689600000
Tank Top,Shirts,Leather,2024,9,29,30.98,1735689600000
Formal Shirt,Shirts,Cotton,2020,7,8,74.43,1735689600000
Denim Jeans,Pants,Cotton,2023,9,29,61.89,1735689600000
Running Shoes,Shoes,Cotton,2024,1,14,67.57,1735689600000
Running Shoes,Shoes,Cotton,2024,12,16,1.83,1735689600000
Cowboy Hat,Hat,Polyester,2022,1,29,68.16,1735689600000
Sandals,Shoes,Polyester,2021,11,7,50.81,1735689600000
Polo Shirt,Shirts,Polyester,2024,12,14,23.86,1735689600000
Cargo Pants,Pants,Leather,2024,1,26,22.06,1759845903857
Tank Top,Shirts,Cotton,2024,4,30,8.35,1759845903857
Baseball Cap,Hat,Cotton,2021,10,18,10.45,1759845903857
Classic T-Shirt,Shirts,Polyester,2023,6,12,17.06,1759845903857
Formal Shirt,Shirts,Cotton,2024,4,30,36.29,1759845903857
Tank Top,Shirts,Leather,2021,3,27,10.44,1759845903857
Cargo Pants,Pants,Polyester,2022,6,3,15.18,1759845903857
Bucket Hat,Hat,Denim,2023,9,8,93.17,1759845903857
Running Shoes,Shoes,Cotton,2022,9,1,58.08,1759845903857
Baseball Cap,Hat,Leather,2023,8,19,84.12,1759845903857
Leather Boots,Shoes,Denim,2021,1,19,62.71,1759845903857
Baseball Cap,Hat,Leather,2021,2,17,33.13,1759845903857
Shorts,Pants,Cotton,2020,3,4,73.07,1759845903857
Beanie,Hat,Polyester,2022,4,23,52.75,1759845903857
Chino Pants,Pants,Cotton,2024,4,20,73.94,1759845903857
Cowboy Hat,Hat,Cotton,2022,8,7,17.38,1759845903857
Cargo Pants,Pants,Cotton,2021,4,22,69.02,1759845903857
Cowboy Hat,Hat,Cotton,2021,6,29,43.25,1759845903857
Tank Top,Shirts,Leather,2021,10,4,73.13,1759845903857
Polo Shirt,Shirts,Polyester,2024,2,1,75.88,1759845903857
Cowboy Hat,Hat,Cotton,2024,6,7,40.36,1759845903857
Cowboy Hat,Hat,Leather,2022,12,8,92.59,1759845903857
Denim Jeans,Pants,Cotton,2023,8,5,21.15,1759845903857
Formal Shirt,Shirts,Polyester,2020,9,10,1.79,1759845903857
Beanie,Hat,Denim,2021,10,30,92.71,1759845903857
Running Shoes,Shoes,Leather,2020,2,25,30.16,1759845903857
Beanie,Hat,Polyester,2021,12,23,17.53,1759845903857
Formal Shirt,Shirts,Cotton,2023,8,4,3.39,1759845903857
Formal Shirt,Shirts,Cotton,2022,11,18,45.75,1759845903857
Shorts,Pants,Denim,2020,8,10,81.03,1759845903857
Leather Boots,Shoes,Polyester,2023,9,16,37.47,1759845903857
Running Shoes,Shoes,Polyester,2023,3,6,61.31,1759845903857
Beanie,Hat,Polyester,2020,4,19,4.45,1759845903857
Classic T-Shirt,Shirts,Cotton,2024,6,23,36.1,1759845903857
Beanie,Hat,Leather,2022,11,22,8.77,1759845903857
Bucket Hat,Hat,Polyester,2024,3,24,69.63,1759845903857
Bucket Hat,Hat,Polyester,2024,6,8,2.26,1759845903857
Polo Shirt,Shirts,Polyester,2022,8,31,46.49,1759845903857
Classic T-Shirt,Shirts,Polyester,2021,7,16,96.17,1759845903857
Shorts,Pants,Denim,2021,8,14,34.08,1759845903857
Sandals,Shoes,Denim,2023,4,8,47.74,1759845903857
Chino Pants,Pants,Cotton,2022,4,12,11.43,1759845903857
Beanie,Hat,Polyester,2024,7,2,50.8,1759845903857
Sandals,Shoes,Denim,2023,5,20,88.68,1759845903857
Denim Jeans,Pants,Leather,2020,1,25,53.9,1759845903857
Beanie,Hat,Leather,2023,2,11,28.87,1759845903857
Tank Top,Shirts,Polyester,2022,9,29,36.1,1759845903857
Baseball Cap,Hat,Cotton,2022,2,27,89.73,1759845903857
Baseball Cap,Hat,Polyester,2020,2,14,24.91,1759845903857
Beanie,Hat,Cotton,2023,7,19,3.36,1759845903857
Bucket Hat,Hat,Polyester,2024,8,21,96.61,1759845903857
Formal Shirt,Shirts,Leather,2021,4,20,43.57,1759845903857
Cowboy Hat,Hat,Leather,2022,6,29,35.28,1759845903857
Bucket Hat,Hat,Leather,2024,3,3,58.13,1759845903857
Running Shoes,Shoes,Polyester,2024,12,16,13.53,1759845903857
Denim Jeans,Pants,Leather,2023,6,29,95.05,1759845903857
Bucket Hat,Hat,Leather,2021,10,28,32.05,1759845903857
Slip-On Sneakers,Shoes,Cotton,2020,8,23,95.33,1759845903857
Shorts,Pants,Polyester,2020,3,27,22.62,1759845903857
Classic T-Shirt,Shirts,Cotton,2021,1,26,25.62,1759845903857
Formal Shirt,Shirts,Denim,2022,1,9,86.52,1759845903857
Sandals,Shoes,Leather,2022,12,13,24.29,1759845903857
Shorts,Pants,Cotton,2023,12,26,81.69,1759845903857
Denim Jeans,Pants,Leather,2022,5,28,54.85,1759845903857
Cargo Pants,Pants,Leather,2021,3,20,19.93,1759845903857
Bucket Hat,Hat,Denim,2024,11,14,59.3,1759845903857
Chino Pants,Pants,Cotton,2020,10,17,5.77,1759845903857
Classic T-Shirt,Shirts,Leather,2020,4,10,2.57,1759845903857
Running Shoes,Shoes,Denim,2022,1,10,5.92,1759845903857
Slip-On Sneakers,Shoes,Leather,2024,12,29,40.54,1759845903857
Polo Shirt,Shirts,Leather,2021,3,27,58.11,1759845903857
Bucket Hat,Hat,Polyester,2022,3,3,86.88,1759845903857
Bucket Hat,Hat,Leather,2024,10,13,78.83,1759845903857
Shorts,Pants,Cotton,2020,8,17,26.22,1759845903857
Bucket Hat,Hat,Cotton,2024,6,18,9.14,1759845903857
Polo Shirt,Shirts,Denim,2020,6,15,16.62,1759845903857
Cowboy Hat,Hat,Polyester,2021,11,18,21.74,1759845903857
Running Shoes,Shoes,Leather,2023,6,9,42.32,1759845903857
Leather Boots,Shoes,Cotton,2022,6,20,35.42,1759845903857
Beanie,Hat,Denim,2020,3,20,70.29,1759845903857
Beanie,Hat,Denim,2024,5,18,70.05,1759845903857
Sandals,Shoes,Cotton,2023,1,16,8.4,1759845903857
Running Shoes,Shoes,Denim,2021,2,20,4.61,1759845903857
Beanie,Hat,Leather,2021,12,15,79.15,1759845903857
Chino Pants,Pants,Polyester,2021,12,7,90.15,1759845903857
Chino Pants,Pants,Denim,2024,10,18,1.46,1759845903857
Slip-On Sneakers,Shoes,Leather,2024,10,28,27.16,1759845903857
Baseball Cap,Hat,Leather,2024,8,21,47.27,1759845903857
Tank Top,Shirts,Cotton,2021,10,19,36.62,1759845903857
Shorts,Pants,Leather,2020,11,20,24.78,1759845903857
Beanie,Hat,Cotton,2022,4,12,3.29,1759845903857
Classic T-Shirt,Shirts,Leather,2023,4,27,53.64,1759845903857
Tank Top,Shirts,Cotton,2024,3,4,13.89,1759845903857
Baseball Cap,Hat,Leather,2020,7,25,56.58,1759845903857
Tank Top,Shirts,Denim,2020,5,25,17.62,1759845903857
Denim Jeans,Pants,Leather,2023,4,6,42.69,1759845903857
Shorts,Pants,Leather,2023,4,2,68.78,1759845903857
Shorts,Pants,Denim,2021,4,10,28.12,1759845903857
Beanie,Hat,Leather,2024,8,19,1.99,1759845903857
Denim Jeans,Pants,Cotton,2024,8,13,22.77,1759845903857
